id,hub,zcta,state,latitude,longitude,predicted_pressure,predicted_risk,owner_households,renter_households,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd
12960-2024,ZCTA 12960,12960,US,44.015756,-73.572348,623.9129891565514,STOCKOUT_RISK,422,91,-4.31,911.11,23.27,850.0
93238-2024,ZCTA 93238,93238,US,35.850772,-118.49771,623.7158928054516,STOCKOUT_RISK,484,97,10.5,977.78,12.83,1691.0
24161-2024,ZCTA 24161,24161,US,36.978085,-79.529113,618.8758680472278,STOCKOUT_RISK,107,99,-13.01,1137.5,21.91,1119.0
57246-2024,ZCTA 57246,57246,US,45.054908,-96.666981,611.1488897561278,STOCKOUT_RISK,50,9,-28.57,800.0,-15.38,506.0
24731-2024,ZCTA 24731,24731,US,37.397354,-81.151631,523.187155894384,STOCKOUT_RISK,20,51,0.0,325.0,491.67,628.0
78719-2024,ZCTA 78719,78719,US,30.1393,-97.673092,497.24238896251126,STOCKOUT_RISK,483,102,-7.29,580.0,10.61,1656.0
39057-2024,ZCTA 39057,39057,US,32.490854,-89.284427,496.2827991267782,STOCKOUT_RISK,786,93,5.36,615.38,11.02,474.0
40941-2024,ZCTA 40941,40941,US,37.130055,-83.745555,489.6231723944697,STOCKOUT_RISK,25,106,0.0,278.57,147.17,833.0
17880-2024,ZCTA 17880,17880,US,40.891097,-77.123864,470.1325864195151,STOCKOUT_RISK,0,10,0.0,150.0,150.0,1125.0
37340-2024,ZCTA 37340,37340,US,35.021988,-85.519895,467.40383596571587,STOCKOUT_RISK,113,85,-4.24,507.14,30.24,522.0
63785-2024,ZCTA 63785,63785,US,37.266837,-89.822215,465.2036423774463,STOCKOUT_RISK,422,37,6.3,516.67,20.57,1079.0
50567-2024,ZCTA 50567,50567,US,42.523753,-95.08084,464.3592021561891,STOCKOUT_RISK,74,42,-17.78,500.0,15.7,776.0
45650-2024,ZCTA 45650,45650,US,38.738293,-83.422328,463.5472973082223,STOCKOUT_RISK,124,74,-8.82,516.67,14.44,786.0
84315-2024,ZCTA 84315,84315,US,41.167508,-112.137773,458.4846440594355,STOCKOUT_RISK,2690,97,0.67,506.25,5.19,2269.0
96848-2024,ZCTA 96848,96848,US,21.301329,-157.814276,455.34719693853117,STOCKOUT_RISK,0,19,0.0,375.0,89.47,587.0
95697-2024,ZCTA 95697,95697,US,38.732881,-121.807195,449.26273671808,STOCKOUT_RISK,0,201,0.0,145.12,145.12,1803.0
95671-2024,ZCTA 95671,95671,US,38.694464,-121.153753,445.1889764482448,STOCKOUT_RISK,0,46,0.0,142.11,142.11,1420.0
