id,hub,zcta,state,latitude,longitude,risk,volume,demand_index,owner_households,renter_households,owner_share_pct,renter_share_pct,owner_yoy_pct,renter_yoy_pct,housing_units_yoy_pct,median_rent_usd,source
24161-2024,ZCTA 24161,24161,US,36.978085,-79.529113,STOCKOUT_RISK,53,732.67,107,99,34.97,32.35,-13.01,1137.5,21.91,1119.0,ACS DP04 + ACS5 (national)
93238-2024,ZCTA 93238,93238,US,35.850772,-118.49771,STOCKOUT_RISK,150,649.47,484,97,49.59,9.94,10.5,977.78,12.83,1691.0,ACS DP04 + ACS5 (national)
12960-2024,ZCTA 12960,12960,US,44.015756,-73.572348,STOCKOUT_RISK,85,608.46,422,91,71.77,15.48,-4.31,911.11,23.27,850.0,ACS DP04 + ACS5 (national)
57246-2024,ZCTA 57246,57246,US,45.054908,-96.666981,STOCKOUT_RISK,40,530.05,50,9,75.76,13.64,-28.57,800.0,-15.38,506.0,ACS DP04 + ACS5 (national)
39057-2024,ZCTA 39057,39057,US,32.490854,-89.284427,STOCKOUT_RISK,103,445.01,786,93,80.45,9.52,5.36,615.38,11.02,474.0,ACS DP04 + ACS5 (national)
78719-2024,ZCTA 78719,78719,US,30.1393,-97.673092,STOCKOUT_RISK,66,424.72,483,102,73.52,15.53,-7.29,580.0,10.61,1656.0,ACS DP04 + ACS5 (national)
63785-2024,ZCTA 63785,63785,US,37.266837,-89.822215,STOCKOUT_RISK,55,393.95,422,37,71.28,6.25,6.3,516.67,20.57,1079.0,ACS DP04 + ACS5 (national)
37340-2024,ZCTA 37340,37340,US,35.021988,-85.519895,STOCKOUT_RISK,40,389.2,113,85,42.32,31.84,-4.24,507.14,30.24,522.0,ACS DP04 + ACS5 (national)
45650-2024,ZCTA 45650,45650,US,38.738293,-83.422328,STOCKOUT_RISK,40,389.12,124,74,39.12,23.34,-8.82,516.67,14.44,786.0,ACS DP04 + ACS5 (national)
24731-2024,ZCTA 24731,24731,US,37.397354,-81.151631,STOCKOUT_RISK,40,388.65,20,51,28.17,71.83,0.0,325.0,491.67,628.0,ACS DP04 + ACS5 (national)
