week_index,week_label,sku_id,units_sold,search_index,housing_permits,metro,scenario_type,sales_velocity_4w,sales_velocity_1w,search_velocity_4w,search_velocity_1w,permit_velocity_4w,rolling_7w_avg_sales,surge_score
0,W-103,PB-BLANKET-42,132,12.2,100,Los Angeles,A,0.0,0.0,0.0,0.0,0.0,132.0,0.0
1,W-102,PB-BLANKET-42,120,9.1,100,Los Angeles,A,0.0,-9.1,0.0,-25.4,0.0,126.0,0.0
2,W-101,PB-BLANKET-42,119,10.4,100,Los Angeles,A,0.0,-0.8,0.0,14.3,0.0,123.7,0.0
3,W-100,PB-BLANKET-42,121,10.1,100,Los Angeles,A,0.0,1.7,0.0,-2.9,0.0,123.0,0.0
4,W-99,PB-BLANKET-42,130,12.7,100,Los Angeles,A,5.7,7.4,21.5,25.7,0.0,124.4,8.9
5,W-98,PB-BLANKET-42,116,12.4,100,Los Angeles,A,-5.3,-10.8,17.3,-2.4,0.0,123.0,5.8
6,W-97,PB-BLANKET-42,124,13.5,100,Los Angeles,A,2.1,6.9,18.4,8.9,0.0,123.1,6.8
7,W-96,PB-BLANKET-42,119,9.4,100,Los Angeles,A,-3.1,-4.0,-22.8,-30.4,0.0,121.3,0.0
8,W-95,PB-BLANKET-42,121,11.1,100,Los Angeles,A,-1.0,1.7,-7.5,18.1,0.0,121.4,0.0
9,W-94,PB-BLANKET-42,130,9.1,100,Los Angeles,A,8.3,7.4,-21.6,-18.0,0.0,123.0,2.5
10,W-93,PB-BLANKET-42,130,10.1,100,Los Angeles,A,5.3,0.0,-6.3,11.0,0.0,124.3,1.6
11,W-92,PB-BLANKET-42,125,11.5,100,Los Angeles,A,0.0,-3.8,15.9,13.9,0.0,123.6,5.3
12,W-91,PB-BLANKET-42,122,9.1,100,Los Angeles,A,-3.6,-2.4,-12.9,-20.9,0.0,124.4,0.0
13,W-90,PB-BLANKET-42,120,10.0,100,Los Angeles,A,-5.3,-1.6,0.5,9.9,0.0,123.9,0.2
14,W-89,PB-BLANKET-42,126,12.2,100,Los Angeles,A,1.4,5.0,19.9,22.0,0.0,124.9,7.1
15,W-88,PB-BLANKET-42,134,11.7,100,Los Angeles,A,8.7,6.3,9.3,-4.1,0.0,126.7,5.7
16,W-87,PB-BLANKET-42,118,10.1,100,Los Angeles,A,-6.0,-11.9,-6.0,-13.7,0.0,125.0,0.0
17,W-86,PB-BLANKET-42,132,11.9,100,Los Angeles,A,6.0,11.9,8.2,17.8,0.0,125.3,4.5
18,W-85,PB-BLANKET-42,130,13.0,100,Los Angeles,A,2.0,-1.5,13.3,9.2,0.0,126.0,5.0
